_gloss,videos,signers,is_candidate,clears_bar
ANGRY,32,28,True,True
APPLE,32,31,True,True
BOY,32,29,True,True
BROTHER,32,29,True,True
FINISH,32,29,True,True
GREEN,32,29,True,True
HELLO,32,29,True,True
MORNING,32,29,True,True
MOTHER,32,28,True,True
NAME,32,29,True,True
PLAY,32,29,True,True
RED,32,29,True,True
UNDERSTAND,32,29,True,True
WHICH,32,29,True,True
WHO,32,29,True,True
WHY,32,29,True,True
WORK,32,28,True,True
BIG,31,30,True,True
BIRD,31,29,True,True
BLACK,31,30,True,True
BLUE,31,27,True,True
BOOK,31,30,True,True
BREAD,31,29,True,True
CHILD,31,27,True,True
COLD,31,28,True,True
COOK,31,27,True,True
DOOR,31,28,True,True
FISH,31,29,True,True
GO,31,28,True,True
GOOD,31,30,True,True
HAPPY,31,28,True,True
HELP,31,27,True,True
HOT,31,27,True,True
HUNGRY,31,30,True,True
KNOW,31,29,True,True
LEARN,31,30,True,True
MAKE,31,29,True,True
MAN,31,30,True,True
NEW,31,29,True,True
ORANGE,31,29,True,True
PAPER,31,29,True,True
PEN,31,30,True,True
PENCIL,31,29,True,True
PINK,31,29,True,True
PLEASE,31,29,True,True
PURPLE,31,29,True,True
READ,31,29,True,True
SEE,31,27,True,True
SICK,31,29,True,True
SISTER,31,29,True,True
SMALL,31,27,True,True
STOP,31,27,True,True
TEACHER,31,29,True,True
TIME,31,30,True,True
WEEK,31,29,True,True
WHEN,31,29,True,True
WHERE,31,29,True,True
WRITE,31,27,True,True
YEAR,31,30,True,True
YELLOW,31,27,True,True
BAD,30,28,True,True
BROWN,30,28,True,True
CHAIR,30,29,True,True
COFFEE,30,29,True,True
COME,30,26,True,True
COMPUTER,30,29,True,True
COW,30,28,True,True
FAMILY,30,28,True,True
GIRL,30,30,True,True
GIVE,30,28,True,True
HOUSE,30,29,True,True
LIKE,30,27,True,True
MONTH,30,29,True,True
NEED,30,29,True,True
NO,30,30,True,True
NOW,30,29,True,True
OLD,30,28,True,True
SAD,30,28,True,True
SCHOOL,30,30,True,True
SLEEP,30,28,True,True
SORRY,30,28,True,True
START,30,28,True,True
STUDENT,30,29,True,True
TABLE,30,29,True,True
TIRED,30,28,True,True
TODAY,30,28,True,True
TOMORROW,30,28,True,True
WATER,30,29,True,True
WHITE,30,28,True,True
YES,30,26,True,True
YESTERDAY,30,30,True,True
CAR,29,29,True,True
DAY,29,29,True,True
FATHER,29,27,True,True
FRIEND,29,29,True,True
HORSE,29,28,True,True
MEET,29,29,True,True
PHONE,29,27,True,True
DOG1,45,30,False,True
BASKETBALL1,44,30,False,True
WHATFOR1,43,31,False,True
BELT1,40,29,False,True
BEE1,39,32,False,True
BITE1,39,29,False,True
BREAKFAST1,39,31,False,True
CHRISTMAS1,39,27,False,True
DARK1,39,29,False,True
DEAF1,39,31,False,True
DEMAND1,39,33,False,True
EAT1,39,29,False,True
ELEVATOR1,39,29,False,True
FINE1,39,30,False,True
FOREIGNER1,39,30,False,True
HOSPITAL1,39,31,False,True
MECHANIC1,39,29,False,True
MOVIE1,39,30,False,True
NIGHT1,39,30,False,True
PARTY1,39,30,False,True
PATIENT2,39,31,False,True
ROCKINGCHAIR1,39,31,False,True
SHAVE1,39,30,False,True
AXE1,38,28,False,True
BELIEVE1,38,28,False,True
DECIDE1,38,28,False,True
DOWNSIZE1,38,32,False,True
DRAG1,38,28,False,True
EDIT1,38,28,False,True
HURDLE/TRIP1,38,31,False,True
LETTUCE1,38,29,False,True
LUNCH1,38,28,False,True
MICROSCOPE1,38,31,False,True
NOON1,38,29,False,True
RECENT1,38,28,False,True
RESEARCH1,38,31,False,True
RIVER1,38,31,False,True
TYPE1,38,30,False,True
BACKPACK1,37,29,False,True
CALENDAR1,37,31,False,True
CANCEL1,37,27,False,True
CANCER1,37,27,False,True
CLOUD1,37,30,False,True
CONFUSED1,37,28,False,True
DINNER1,37,27,False,True
GUESS1,37,30,False,True
HALLOWEEN1,37,29,False,True
LOCK1,37,31,False,True
SPECIAL1,37,31,False,True
THIRD1,37,29,False,True
TWINS1,37,27,False,True
DEVELOP1,36,30,False,True
TAKEOFF1,36,28,False,True
THEY1,36,27,False,True
5DOLLARS,32,31,False,True
ABOUT1,32,28,False,True
ACTION,32,29,False,True
ADVERTISE,32,30,False,True
AFTER,32,29,False,True
ALARM,32,29,False,True
ALLOFSUDDEN,32,31,False,True
ALPHABET,32,29,False,True
AND,32,29,False,True
ANYONE,32,31,False,True
APPEAR,32,29,False,True
AUTISM1,32,29,False,True
BACKOUT,32,30,False,True
BASEBALLCAP,32,29,False,True
BASEMENT,32,29,False,True
BASKET1,32,30,False,True
BATH,32,28,False,True
BECAUSE,32,28,False,True
BEHAVIOR,32,27,False,True
BLOOD,32,29,False,True
BORROW,32,29,False,True
BOTTLE,32,27,False,True
BOWL,32,29,False,True
BOXING,32,29,False,True
BRAIDS,32,29,False,True
BRAVE,32,29,False,True
BRIDGE1,32,28,False,True
BUTTERFLY,32,28,False,True
CABINET,32,28,False,True
CALLTTY,32,29,False,True
CANCELLATION,32,29,False,True
CANDY2,32,27,False,True
CAPTURE,32,31,False,True
CASTLE4,32,29,False,True
CATEGORY,32,27,False,True
CATHOLIC,32,30,False,True
CEMETERY,32,31,False,True
CHAIN,32,29,False,True
CHANNEL,32,29,False,True
CHARACTER,32,29,False,True
CHASE,32,29,False,True
CHEEK,32,30,False,True
CHEESEGRATER,32,29,False,True
CHOCOLATE,32,28,False,True
CIGARETTE,32,29,False,True
CITY1,32,28,False,True
CLEAR,32,29,False,True
CLOSE,32,30,False,True
COCACOLA,32,29,False,True
COCAINE,32,29,False,True
COMPLEX,32,29,False,True
CONCEPT,32,28,False,True
COOKIE,32,29,False,True
CORN2,32,29,False,True
COVERUP,32,29,False,True
CREDITCARD,32,29,False,True
DANCE,32,29,False,True
DEPENDON,32,30,False,True
DISAPPEAR,32,29,False,True
DODO,32,29,False,True
DRESS,32,28,False,True
DROWN5,32,27,False,True
EACH,32,29,False,True
EGGBEATER,32,30,False,True
