_gloss,videos,signers,is_candidate,clears_bar
ANGRY,32,28,True,True
FINISH,32,29,True,True
WORK,32,28,True,True
WHY,32,29,True,True
WHO,32,29,True,True
WHICH,32,29,True,True
UNDERSTAND,32,29,True,True
RED,32,29,True,True
PLAY,32,29,True,True
APPLE,32,31,True,True
MOTHER,32,28,True,True
MORNING,32,29,True,True
HELLO,32,29,True,True
GREEN,32,29,True,True
NAME,32,29,True,True
BROTHER,32,29,True,True
BOY,32,29,True,True
PAPER,31,29,True,True
COLD,31,28,True,True
BLUE,31,27,True,True
SMALL,31,27,True,True
MAN,31,30,True,True
BREAD,31,29,True,True
TIME,31,30,True,True
NEW,31,29,True,True
TEACHER,31,29,True,True
ORANGE,31,29,True,True
PEN,31,30,True,True
KNOW,31,29,True,True
PENCIL,31,29,True,True
STOP,31,27,True,True
PINK,31,29,True,True
PLEASE,31,29,True,True
PURPLE,31,29,True,True
READ,31,29,True,True
BOOK,31,30,True,True
SEE,31,27,True,True
SICK,31,29,True,True
LEARN,31,30,True,True
MAKE,31,29,True,True
HUNGRY,31,30,True,True
GO,31,28,True,True
YELLOW,31,27,True,True
COOK,31,27,True,True
YEAR,31,30,True,True
WRITE,31,27,True,True
DOOR,31,28,True,True
BIG,31,30,True,True
CHILD,31,27,True,True
FISH,31,29,True,True
BIRD,31,29,True,True
BLACK,31,30,True,True
GOOD,31,30,True,True
HAPPY,31,28,True,True
HOT,31,27,True,True
WEEK,31,29,True,True
HELP,31,27,True,True
WHEN,31,29,True,True
SISTER,31,29,True,True
WHERE,31,29,True,True
TIRED,30,28,True,True
TABLE,30,29,True,True
TODAY,30,28,True,True
TOMORROW,30,28,True,True
WHITE,30,28,True,True
WATER,30,29,True,True
START,30,28,True,True
SORRY,30,28,True,True
STUDENT,30,29,True,True
YES,30,26,True,True
BAD,30,28,True,True
COFFEE,30,29,True,True
SLEEP,30,28,True,True
LIKE,30,27,True,True
COME,30,26,True,True
COMPUTER,30,29,True,True
COW,30,28,True,True
FAMILY,30,28,True,True
GIRL,30,30,True,True
GIVE,30,28,True,True
CHAIR,30,29,True,True
SCHOOL,30,30,True,True
HOUSE,30,29,True,True
YESTERDAY,30,30,True,True
MONTH,30,29,True,True
BROWN,30,28,True,True
NEED,30,29,True,True
NO,30,30,True,True
NOW,30,29,True,True
OLD,30,28,True,True
SAD,30,28,True,True
MEET,29,29,True,True
CAR,29,29,True,True
FRIEND,29,29,True,True
FATHER,29,27,True,True
DAY,29,29,True,True
PHONE,29,27,True,True
HORSE,29,28,True,True
