concept,gloss,category,videos,signers,rank_videos
DOG,DOG1,animals,45,30,45
CAT,CAT1,animals,30,29,31
BIRD,BIRD,animals,31,29,31
FISH,FISH,animals,31,29,31
COW,COW,animals,30,28,30
HORSE,HORSE,animals,29,28,29
RED,RED,colors,32,29,32
GREEN,GREEN,colors,32,29,32
BLUE,BLUE,colors,31,27,31
YELLOW,YELLOW,colors,31,27,31
BLACK,BLACK,colors,31,30,31
ORANGE,ORANGE,colors,31,29,31
PURPLE,PURPLE,colors,31,29,31
PINK,PINK,colors,31,29,31
WHITE,WHITE,colors,30,28,30
BROWN,BROWN,colors,30,28,30
WANT,WANT1,common_verbs,32,30,32
UNDERSTAND,UNDERSTAND,common_verbs,32,29,32
WORK,WORK,common_verbs,32,28,32
PLAY,PLAY,common_verbs,32,29,32
FINISH,FINISH,common_verbs,32,29,32
GO,GO,common_verbs,31,28,31
KNOW,KNOW,common_verbs,31,29,31
LEARN,LEARN,common_verbs,31,30,31
READ,READ,common_verbs,31,29,31
WRITE,WRITE,common_verbs,31,27,31
SEE,SEE,common_verbs,31,27,31
MAKE,MAKE,common_verbs,31,29,31
STOP,STOP,common_verbs,31,27,31
COME,COME,common_verbs,30,26,30
NEED,NEED,common_verbs,30,29,30
LIKE,LIKE,common_verbs,30,27,30
SLEEP,SLEEP,common_verbs,30,28,30
GIVE,GIVE,common_verbs,30,28,30
START,START,common_verbs,30,28,30
ANGRY,ANGRY,descriptors_feelings,32,28,32
GOOD,GOOD,descriptors_feelings,31,30,31
HAPPY,HAPPY,descriptors_feelings,31,28,31
SICK,SICK,descriptors_feelings,31,29,31
BIG,BIG,descriptors_feelings,31,30,31
SMALL,SMALL,descriptors_feelings,31,27,31
HOT,HOT,descriptors_feelings,31,27,31
COLD,COLD,descriptors_feelings,31,28,31
NEW,NEW,descriptors_feelings,31,29,31
BAD,BAD,descriptors_feelings,30,28,30
SAD,SAD,descriptors_feelings,30,28,30
TIRED,TIRED,descriptors_feelings,30,28,30
OLD,OLD,descriptors_feelings,30,28,30
EAT,EAT1,food_drink,39,29,39
APPLE,APPLE,food_drink,32,31,32
DRINK,DRINK1,food_drink,31,29,31
MILK,MILK1,food_drink,30,29,31
BREAD,BREAD,food_drink,31,29,31
BANANA,BANANA1,food_drink,31,28,31
HUNGRY,HUNGRY,food_drink,31,30,31
COOK,COOK,food_drink,31,27,31
WATER,WATER,food_drink,30,29,30
COFFEE,COFFEE,food_drink,30,29,30
HELLO,HELLO,greetings_social,32,29,32
NAME,NAME,greetings_social,32,29,32
PLEASE,PLEASE,greetings_social,31,29,31
HELP,HELP,greetings_social,31,27,31
WELCOME,WELCOME1,greetings_social,31,30,31
SORRY,SORRY,greetings_social,30,28,30
YES,YES,greetings_social,30,26,30
NO,NO,greetings_social,30,30,30
MEET,MEET,greetings_social,29,29,29
FRIEND,FRIEND,greetings_social,29,29,29
MOTHER,MOTHER,people_family,32,28,32
BROTHER,BROTHER,people_family,32,29,32
BOY,BOY,people_family,32,29,32
WOMAN,WOMAN1,people_family,32,29,32
SISTER,SISTER,people_family,31,29,31
BABY,BABY1,people_family,30,29,31
MAN,MAN,people_family,31,30,31
CHILD,CHILD,people_family,31,27,31
TEACHER,TEACHER,people_family,31,29,31
FAMILY,FAMILY,people_family,30,28,30
GIRL,GIRL,people_family,30,30,30
STUDENT,STUDENT,people_family,30,29,30
FATHER,FATHER,people_family,29,27,29
WHO,WHO,pronouns_question,32,29,32
WHAT,WHAT1,pronouns_question,32,27,32
WHY,WHY,pronouns_question,32,29,32
WHICH,WHICH,pronouns_question,32,29,32
WHERE,WHERE,pronouns_question,31,29,31
WHEN,WHEN,pronouns_question,31,29,31
HOW,HOW1,pronouns_question,31,29,31
BOOK,BOOK,school_objects,31,30,31
PAPER,PAPER,school_objects,31,29,31
PEN,PEN,school_objects,31,30,31
PENCIL,PENCIL,school_objects,31,29,31
DOOR,DOOR,school_objects,31,28,31
COMPUTER,COMPUTER,school_objects,30,29,30
TABLE,TABLE,school_objects,30,29,30
CHAIR,CHAIR,school_objects,30,29,30
HOUSE,HOUSE,school_objects,30,29,30
SCHOOL,SCHOOL,school_objects,30,30,30
PHONE,PHONE,school_objects,29,27,29
CAR,CAR,school_objects,29,29,29
NIGHT,NIGHT1,time_days,39,30,39
MORNING,MORNING,time_days,32,29,32
WEEK,WEEK,time_days,31,29,31
YEAR,YEAR,time_days,31,30,31
TIME,TIME,time_days,31,30,31
TODAY,TODAY,time_days,30,28,30
TOMORROW,TOMORROW,time_days,30,28,30
YESTERDAY,YESTERDAY,time_days,30,30,30
MONTH,MONTH,time_days,30,29,30
NOW,NOW,time_days,30,29,30
DAY,DAY,time_days,29,29,29
